# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12432
#@/user_id	6099a6d5-586b-43cf-a201-a9684551a2a9
a 	啊	c=204 d=5.82978 t=12432
mao si 	貌似	c=6 d=0.1 t=11399
mao tou 	矛頭	c=1 d=1 t=8472
mao zi 	毛子	c=1 d=1 t=8150
me 	麼	c=94 d=1.65347 t=12432
mei 	沒	c=58 d=1.55427 t=12432
mei 	美	c=2 d=0.472367 t=12432
mei ban fa 	沒辦法	c=1 d=1 t=5519
mei bi yao 	沒必要	c=1 d=1 t=3586
mei ci 	每次	c=4 d=1 t=12002
mei cuo 	沒錯	c=2 d=1 t=8798
mei dong 	沒動	c=0 d=0.0037068 t=12432
mei fa 	沒法	c=3 d=1 t=12024
mei gan 	沒幹	c=1 d=1 t=5098
mei ge 	每個	c=1 d=1 t=10579
mei ge ren 	每個人	c=2 d=1 t=9027
mei guan xi 	沒關係	c=1 d=1 t=2446
mei ha 	沒哈	c=1 d=1 t=2153
mei ji 	每集	c=1 d=1 t=11991
mei ji ge 	沒幾個	c=1 d=1 t=2210
mei kan 	沒看	c=1 d=1.00042 t=4527
mei kan guo 	沒看過	c=1 d=1 t=3432
mei lai guo 	沒來過	c=1 d=0.0652193 t=12432
mei le 	沒了	c=6 d=1.41066 t=9039
mei li 	梅里	c=0 d=0.1 t=3121
mei li hao 	梅里號	c=1 d=1 t=3122
mei nan du 	沒難度	c=1 d=1 t=3851
mei neng li 	沒能力	c=1 d=1 t=2745
mei ren 	每人	c=2 d=1 t=8652
mei ren 	沒人	c=16 d=0.272612 t=12432
mei sha 	沒啥	c=4 d=1.05874 t=5234
mei sha yong 	沒啥用	c=2 d=1.22764 t=2653
mei shen me 	沒什麼	c=2 d=1 t=11464
mei shi 	沒事	c=9 d=0.0229371 t=12432
mei shi le 	沒事了	c=2 d=1 t=11913
mei shuo 	沒說	c=0 d=0.0109701 t=12432
mei si 	沒死	c=2 d=1.98511 t=7470
mei tian 	每天	c=7 d=0.229925 t=12432
mei tiao 	每條	c=1 d=1 t=3591
mei tou 	眉頭	c=1 d=1 t=10066
mei wen ti 	沒問題	c=2 d=1 t=12274
mei wen ti de 	沒問題的	c=2 d=1.02586 t=7799
mei xia 	沒下	c=1 d=1 t=12234
mei yi yi 	沒意義	c=2 d=0.0265162 t=12432
mei you 	沒有	c=28 d=1.65025 t=11807
mei yue 	每月	c=2 d=1.99501 t=8025
mei zuo 	沒做	c=0 d=0.014808 t=12432
men 	們	c=7 d=0.442639 t=12432
men le 	門了	c=1 d=1 t=6480
meng 	夢	c=4 d=1.98059 t=2430
meng huan 	夢幻	c=1 d=1 t=3456
meng jian 	夢見	c=1 d=1 t=1816
meng mei 	夢寐	c=1 d=1 t=4368
meng xiang 	夢想	c=1 d=1 t=7231
mi 	米	c=1 d=1 t=2973
mi hou tao 	獼猴桃	c=1 d=0.318224 t=12432
mi ma 	密碼	c=2 d=0.0434998 t=12432
mi ni 	迷你	c=1 d=1.056 t=5402
mi ni shi jie 	迷你世界	c=1 d=1 t=5403
mian 	麪	c=1 d=1 t=7624
mian bao 	麪包	c=0 d=0.1 t=9191
mian fei 	免費	c=6 d=1.00098 t=8767
mian fei o 	免費哦	c=1 d=1 t=6650
mian mian 	面面	c=2 d=1.93239 t=10302
mian qian 	面前	c=1 d=1 t=1619
mie 	咩	c=1 d=1 t=11888
ming 	名	c=2 d=1 t=12307
ming 	明	c=1 d=1 t=4841
ming bai 	明白	c=1 d=1 t=5250
ming ling 	命令	c=1 d=1 t=2180
ming ling 	明令	c=1 d=1 t=10510
ming ming 	明明	c=3 d=1 t=6627
ming ming dou 	明明都	c=1 d=1 t=4329
ming ming sha 	明明啥	c=1 d=1 t=2134
ming que 	明確	c=1 d=1 t=3956
ming tian 	明天	c=4 d=0.143704 t=12432
ming xing 	明星	c=1 d=1 t=4818
ming yun 	命運	c=2 d=1.9802 t=3427
ming zhi 	明知	c=1 d=1 t=8355
ming zhi gu wen 	明知故問	c=1 d=1 t=8356
ming zi 	名字	c=5 d=1.00078 t=10756
ming zi de 	名字的	c=1 d=1 t=3526
ming zuo 	名作	c=1 d=1 t=9328
mo 	末	c=1 d=1 t=7002
mo 	磨	c=1 d=1 t=9686
mo 	莫	c=0 d=0.1 t=5509
mo ca 	摩擦	c=1 d=1 t=3671
mo dao 	磨刀	c=1 d=1 t=12189
mo dao 	魔道	c=3 d=1.71287 t=11853
mo di 	莫第	c=1 d=1 t=11989
mo fa 	魔法	c=1 d=1 t=8826
mo fang 	魔方	c=1 d=1 t=6181
mo kuai 	模塊	c=3 d=0.0547488 t=12432
mo ming 	莫名	c=11 d=2.05959 t=12004
mo ming qi miao 	莫名其妙	c=2 d=1.23693 t=2122
mo ri 	末日	c=2 d=1.7827 t=7156
mo sheng 	陌生	c=1 d=0.2334 t=12432
mo sheng ren 	陌生人	c=2 d=1.00003 t=11285
mo shi 	模式	c=4 d=0.0645703 t=12432
mo wen ti 	莫問題	c=1 d=1 t=5510
mou 	某	c=4 d=1.00007 t=10903
mou xie 	某些	c=2 d=1 t=11554
mou zhong 	某種	c=1 d=1 t=10681
mu biao 	目標	c=1 d=1 t=8789
mu di 	目的	c=1 d=0.292724 t=12432
mu di de 	目的的	c=1 d=0.375311 t=12432
mu lu 	目錄	c=1 d=1 t=9526
mu qian 	目前	c=1 d=0.299692 t=12432
na 	拿	c=2 d=0.166127 t=12432
na 	那	c=18 d=1.89977 t=9276
na cui 	納粹	c=1 d=1 t=10461
na dao 	拿到	c=1 d=1 t=9969
na dao shi 	那倒是	c=2 d=1.99501 t=5424
na dou 	那都	c=1 d=1 t=4884
na ge 	拿個	c=1 d=0.292293 t=12432
na ge 	那個	c=22 d=0.687289 t=12432
na ge dui 	那個對	c=1 d=1 t=11516
na kuai 	那塊	c=1 d=1 t=4944
na li 	那裏	c=3 d=1.33287 t=10793
na me 	那麼	c=15 d=1.78681 t=11507
na mei 	那沒	c=1 d=1 t=9138
na ni 	那你	c=1 d=1 t=9231
na ni shi 	那你是	c=1 d=1 t=8689
na sha 	那啥	c=1 d=1 t=6108
na shi 	那是	c=1 d=1 t=9770
na shi hou 	那時候	c=2 d=1.00001 t=10448
na ta 	那他	c=1 d=1 t=1267
na tou 	拿頭	c=1 d=1 t=4611
na wo 	那我	c=1 d=1 t=1482
na xie 	那些	c=1 d=1 t=5702
na yang 	那樣	c=1 d=1 t=11990
na ye 	那也	c=1 d=1 t=10007
na zhang 	那張	c=1 d=0.666977 t=12432
na zhe 	拿着	c=1 d=1 t=9893
na zhong 	那種	c=1 d=1 t=4024
nan 	男	c=4 d=1.99349 t=10393
nan 	難	c=2 d=0.579842 t=12432
nan bu cheng 	難不成	c=2 d=1 t=6545
nan dao 	難道	c=1 d=1 t=10012
nan de 	難的	c=2 d=0.562705 t=12432
nan de shi 	難的事	c=1 d=1 t=4714
nan du 	難度	c=0 d=0.1 t=3850
nan kan 	難看	c=1 d=1 t=11248
nan nv 	男女	c=1 d=1 t=8553
nan qiao 	南橋	c=1 d=1 t=3062
nan ren 	男人	c=1 d=1 t=9841
nan sheng 	男生	c=3 d=2.78844 t=8329
nan shou 	難受	c=9 d=1.15961 t=12031
nan yi 	難以	c=2 d=1.8311 t=1393
nao 	腦	c=0 d=0.1 t=7241
nao bu 	腦部	c=1 d=1 t=9817
nao dai 	腦袋	c=1 d=1 t=11230
nao dong 	腦洞	c=1 d=1 t=11231
nao du zi 	鬧肚子	c=1 d=1 t=1916
nao rong liang 	腦容量	c=3 d=2.49026 t=7309
nao sui 	腦髓	c=1 d=1 t=5790
nao xue 	腦血	c=1 d=1 t=10107
nao zi 	腦子	c=3 d=1.00001 t=4767
ne 	呢	c=17 d=0.0944751 t=12432
ne ge 	呢個	c=2 d=1.00001 t=3980
ne jiu 	呢就	c=1 d=0.177284 t=12432
ne me 	呢麼	c=3 d=1.17445 t=12432
ne me duo le 	呢麼多了	c=1 d=0.179964 t=12432
ne shi hou 	呢時候	c=1 d=1 t=4592
ne zhang 	呢張	c=2 d=0.0948935 t=12432
ne zhang tu 	呢張圖	c=1 d=0.0816756 t=12432
ne zhe 	呢這	c=1 d=0.138069 t=12432
nei 	內	c=5 d=0.0183156 t=12432
nei ce 	內測	c=1 d=0.392586 t=12432
nei cun 	內存	c=3 d=0.644036 t=12432
nei fen tai 	內酚酞	c=1 d=1 t=11156
nei he 	內核	c=9 d=1.31215 t=12432
nei rong 	內容	c=1 d=1 t=4880
nei zhi 	內置	c=1 d=1 t=4336
neng 	能	c=30 d=1.53106 t=12432
neng bei 	能被	c=1 d=1 t=10515
neng bu neng 	能不能	c=6 d=1.01238 t=10357
neng chu 	能出	c=1 d=0.154124 t=12432
neng dao 	能到	c=0 d=0.1 t=12224
neng fa xia 	能發下	c=1 d=1 t=4454
neng kong zhi 	能控制	c=1 d=1 t=9753
neng li 	能力	c=0 d=0.1 t=2744
neng rang 	能讓	c=2 d=1.49452 t=5385
neng rang geng 	能讓更	c=1 d=1 t=5246
neng shuo 	能說	c=1 d=1 t=11515
neng xiu 	能修	c=1 d=1 t=9544
neng yong 	能用	c=1 d=1.09005 t=5945
neng you 	能有	c=1 d=1 t=8212
neng zuo 	能做	c=1 d=1 t=4719
ni 	你	c=125 d=3.85988 t=12432
ni 	擬	c=5 d=0.1 t=10905
ni 	膩	c=1 d=1 t=8245
ni an zhao 	你按照	c=1 d=1 t=4700
ni ba 	你把	c=5 d=1.04563 t=10762
ni bang wo 	你幫我	c=1 d=0.018968 t=12432
ni bu 	你不	c=3 d=1.01666 t=11926
ni bu hui 	你不會	c=1 d=0.158025 t=12432
ni bu shi 	你不是	c=3 d=1 t=11932
ni cong 	你從	c=5 d=0.0550232 t=12432
ni da kai 	你打開	c=1 d=1 t=4257
ni da suan 	你打算	c=1 d=1 t=5603
ni dai 	你帶	c=1 d=1 t=8707
ni dao 	你到	c=0 d=0.1 t=10570
ni dao shi 	你到是	c=1 d=1 t=10571
ni de 	你得	c=1 d=0.332871 t=12432
ni de 	你的	c=7 d=0.0673877 t=12432
ni de cuo 	你的錯	c=1 d=1 t=11506
ni deng xia 	你等下	c=1 d=1 t=4536
ni deng zhe 	你等着	c=1 d=1 t=10783
ni dian 	你點	c=2 d=0.726149 t=12432
ni dian kai 	你點開	c=1 d=1 t=4189
ni dou 	你都	c=1 d=1 t=6236
ni fa xian 	你發現	c=1 d=1 t=6698
ni fang xue 	你放學	c=1 d=1 t=8872
ni fen si 	你粉絲	c=1 d=1 t=5309
ni guan ni ma 	你管你媽	c=1 d=1 t=2773
ni hai 	你還	c=4 d=0.306923 t=12432
ni hai mei 	你還沒	c=1 d=1 t=7601
ni hui 	你會	c=2 d=1 t=12432
ni hui da 	你會搭	c=1 d=1 t=11296
ni jiu 	你就	c=2 d=1 t=8134
ni kai 	你開	c=1 d=1 t=6141
ni kan 	你看	c=2 d=0.100001 t=9256
ni kan le 	你看了	c=1 d=1 t=9257
ni ke yi 	你可以	c=15 d=1.62227 t=11779
ni lai 	你來	c=0 d=0.1 t=5716
ni lian xi 	你聯繫	c=1 d=1 t=7553
ni ma 	你媽	c=8 d=0.247881 t=12432
ni ma de 	你媽的	c=2 d=0.985112 t=12432
ni mai 	你買	c=1 d=1 t=9427
ni mai yi 	你買一	c=1 d=0.579842 t=12432
ni men 	你們	c=8 d=0.239083 t=12432
ni ne 	你呢	c=2 d=1.00042 t=5300
ni neng 	你能	c=2 d=1 t=10946
ni neng dao 	你能到	c=1 d=1 t=12225
ni neng xia 	你能下	c=1 d=1 t=5455
ni qu 	你去	c=6 d=0.609571 t=12432
ni ren wei 	你認爲	c=1 d=1 t=6578
ni sha shi hou 	你啥時候	c=1 d=1 t=11015
ni shang 	你上	c=1 d=1 t=7387
ni shang ci 	你上次	c=1 d=1 t=11930
ni shei 	你誰	c=1 d=1 t=8018
ni shi 	你是	c=7 d=1.0172 t=12432
ni shi bu shi 	你是不是	c=1 d=1 t=12220
ni shi ge 	你是個	c=1 d=1 t=11475
ni shi shi 	你試試	c=1 d=1 t=5675
ni shuo 	你說	c=4 d=0.0274607 t=12432
ni tian jia 	你添加	c=1 d=0.718924 t=12432
ni wen 	你問	c=1 d=1 t=6418
ni wu hua 	擬物化	c=1 d=1 t=10906
ni xia ge 	你下個	c=1 d=1 t=4642
ni xian 	你先	c=1 d=1 t=8720
ni xiang 	你想	c=5 d=1.44885 t=10376
ni xie 	你寫	c=1 d=1 t=10587
ni xu yao 	你需要	c=1 d=1 t=8716
ni yao 	你要	c=4 d=1.37453 t=11359
ni yao ba 	你要把	c=1 d=1 t=8516
ni yao bu 	你要不	c=4 d=1 t=12255
ni yao bu yao 	你要不要	c=1 d=1 t=4628
ni yao de 	你要的	c=1 d=1 t=1954
ni yao kan 	你要看	c=1 d=1 t=7977
ni ye 	你也	c=2 d=0.0405589 t=12432
ni ye hui 	你也會	c=1 d=1 t=6793
ni yi wei 	你以爲	c=1 d=1 t=5625
ni yong 	你用	c=1 d=1 t=5854
ni you 	你有	c=4 d=0.474753 t=12432
ni you me 	你有麼	c=1 d=0.955997 t=12432
ni you neng 	你又能	c=1 d=1 t=3885
ni za 	你咋	c=2 d=1 t=8992
ni zai 	你在	c=3 d=0.634035 t=9855
ni zai zuo 	你在做	c=1 d=1 t=9856
ni zhe 	你這	c=5 d=0.453823 t=12432
ni zhe ge 	你這個	c=1 d=1 t=5065
ni zhi dao 	你知道	c=4 d=1 t=9921
ni zhi dao me 	你知道麼	c=1 d=1 t=5051
ni zhi de 	你值得	c=1 d=1 t=9767
ni zhi jie 	你直接	c=1 d=1 t=6250
ni zhi shi 	你只是	c=2 d=0.135335 t=12432
ni zhi wang 	你指望	c=1 d=1 t=6021
ni zhu su 	你住宿	c=1 d=1 t=8401
ni zong bu neng 	你總不能	c=1 d=1 t=11363
nian 	年	c=5 d=1.00002 t=11832
nian dai 	年代	c=2 d=1.00005 t=8995
nian ling 	年齡	c=1 d=1 t=4593
nian qian 	年前	c=2 d=1 t=11115
nian qing 	年輕	c=1 d=1 t=11866
niang 	娘	c=1 d=1 t=8081
niao dao 	尿道	c=1 d=1 t=10888
nin 	您	c=2 d=0.165299 t=12432
ning jing 	寧靜	c=1 d=1 t=5820
ning meng 	檸檬	c=1 d=1 t=7052
niu qu 	扭曲	c=1 d=1 t=10640
nong 	弄	c=2 d=0.0795472 t=12432
nong 	農	c=1 d=0.0389686 t=12432
nu li 	努力	c=1 d=0.100054 t=9773
nu li de 	努力的	c=1 d=1 t=9774
nuo 	諾	c=1 d=0.242926 t=12432
nuo bei er 	諾貝爾	c=1 d=1 t=5568
nv 	女	c=3 d=1.22091 t=10795
nv peng you 	女朋友	c=2 d=1.0124 t=3613
nv sheng 	女生	c=2 d=0.126818 t=12432
nv xing 	女性	c=2 d=1.36972 t=9845
nv zhu 	女主	c=4 d=1 t=7087
o 	哦	c=8 d=1.28083 t=12400
ou ran 	偶然	c=1 d=1 t=3632
ou xiang 	偶像	c=2 d=1.97531 t=11484
pa 	怕	c=1 d=0.036334 t=12432
pa 	爬	c=4 d=1.00001 t=11956
pa man le 	爬滿了	c=1 d=1 t=2377
pa pa pa pa pai 	爬爬爬爬拍	c=1 d=1 t=8878
pai 	拍	c=2 d=0.050409 t=12432
pai chi 	排斥	c=3 d=2.87648 t=10328
pai cuo le 	拍錯了	c=1 d=0.506617 t=12432
pai pai 	拍拍	c=1 d=0.181772 t=12432
pai xu 	排序	c=1 d=1 t=10987
pai zhao 	拍照	c=0 d=0.1 t=6119
pai zhao le 	拍照了	c=1 d=1 t=6120
pan 	判	c=1 d=1 t=10076
pan 	潘	c=0 d=0.1 t=4181
pan 	盤	c=1 d=1 t=2997
pan duan 	判斷	c=1 d=1 t=11444
pan jia xing 	潘嘉興	c=1 d=1 t=4182
pan xing 	判刑	c=0 d=0.1 t=8568
pan xing le 	判刑了	c=1 d=1 t=8569
pang bian 	旁邊	c=1 d=1 t=2333
pao bu 	跑步	c=1 d=1 t=7500
pao dao 	拋到	c=2 d=1.34994 t=11706
pao fen 	跑分	c=1 d=0.146607 t=12432
pao le 	跑了	c=0 d=0.1 t=10540
pei le 	賠了	c=1 d=1 t=3024
pei se 	配色	c=1 d=1 t=2174
pei zhi 	配置	c=3 d=1 t=12251
peng 	彭	c=2 d=1.00124 t=7556
peng 	鵬	c=1 d=1 t=3163
peng peng 	碰碰	c=1 d=1 t=7782
peng you 	朋友	c=5 d=0.249075 t=12432
peng zhang 	膨脹	c=1 d=1 t=3834
pi gu 	屁股	c=0 d=0.1 t=9201
pi gu rou 	屁股肉	c=1 d=1 t=9202
pi ka 	批卡	c=3 d=0.640824 t=12432
pian 	篇	c=2 d=1.02423 t=9776
pian le 	騙了	c=0 d=0.0113042 t=12432
pian le shei 	騙了誰	c=1 d=0.113608 t=12432
pian mian 	片面	c=1 d=1 t=1579
pian yi 	便宜	c=2 d=0.657047 t=12432
piao le 	飄了	c=1 d=1 t=6067
piao liang 	漂亮	c=1 d=1 t=6950
pin 	拼	c=3 d=0.919109 t=12432
pin dao 	貧道	c=1 d=1 t=8549
pin dao 	頻道	c=1 d=1 t=8550
pin duo 	拼多	c=1 d=1 t=3221
pin duo duo 	拼多多	c=2 d=0.494109 t=12432
pin kong 	品控	c=1 d=1 t=7014
ping 	評	c=3 d=1.97531 t=11188
ping bi 	屏蔽	c=1 d=1 t=2775
ping ce 	評測	c=1 d=1 t=7012
ping deng 	平等	c=1 d=1 t=1300
ping fen 	評分	c=1 d=1.0802 t=4868
ping fen zhi du 	評分制度	c=1 d=1 t=4869
ping guo 	蘋果	c=9 d=1.00079 t=11207
ping jia 	評價	c=3 d=1.01771 t=8101
ping jing 	平靜	c=1 d=1 t=1852
ping jun 	平均	c=1 d=1 t=11924
ping lun 	評論	c=6 d=1.70117 t=11521
ping mu 	屏幕	c=3 d=1.21945 t=4097
ping pu 	平鋪	c=1 d=1 t=11923
ping quan 	平權	c=1 d=1 t=8554
ping shi 	平時	c=2 d=1.12493 t=5445
ping tai 	平臺	c=4 d=0.251579 t=12432
po 	破	c=1 d=1 t=9358
po chan 	破產	c=0 d=0.1 t=4330
po chan le 	破產了	c=1 d=1 t=4331
po shen 	頗深	c=1 d=1 t=11645
po wan yi 	破玩意	c=1 d=1 t=3011
pu shi 	樸實	c=1 d=1 t=9747
pu shu 	朴樹	c=1 d=1 t=9629
pu tong 	普通	c=2 d=1 t=7703
pu tong shu ru fa 	普通輸入法	c=1 d=1 t=1269
qi 	器	c=2 d=0.0343009 t=12432
qi 	期	c=1 d=1 t=10079
qi 	起	c=3 d=1.0001 t=7862
qi bu 	起步	c=2 d=1 t=10080
qi bu shi 	豈不是	c=1 d=1 t=6624
qi dan 	奇蛋	c=4 d=1.95601 t=11976
qi dian 	起點	c=0 d=0.1 t=5355
qi dian wang 	起點網	c=2 d=1.956 t=5365
qi dong 	啓動	c=2 d=1.0827 t=9525
qi dong de 	啓動的	c=1 d=1 t=9488
qi guai 	奇怪	c=5 d=1 t=9281
qi guan 	器官	c=4 d=2.68597 t=1517
qi jian 	旗艦	c=2 d=1.00157 t=6997
qi lai 	起來	c=1 d=0.110102 t=3017
qi lai le 	起來了	c=1 d=1 t=3018
qi le 	起了	c=1 d=1 t=3138
qi ma 	起碼	c=0 d=0.0321422 t=12432
qi miao 	奇妙	c=9 d=1 t=12005
qi qi 	慼慼	c=1 d=1 t=3891
qi qi 	琪琪	c=1 d=1 t=6672
qi shi 	其實	c=21 d=1.23682 t=11590
qi shi 	歧視	c=2 d=1.00028 t=9961
qi shi 	騎士	c=3 d=0.75372 t=12432
qi ta 	其他	c=13 d=1.7298 t=11469
qi ta de 	其他的	c=1 d=1 t=6734
qi ta ren 	其他人	c=3 d=1 t=9812
qi xian 	期限	c=1 d=1 t=5321
qi yi 	歧義	c=1 d=1 t=11593
qi yong 	啓用	c=1 d=1.07531 t=4140
qi yong le 	啓用了	c=1 d=1 t=4141
qi zuo yong 	起作用	c=1 d=1 t=4871
qia 	洽	c=2 d=1.74745 t=12432
qian 	前	c=1 d=1 t=3054
qian 	千	c=1 d=1 t=7925
qian 	欠	c=1 d=1 t=8774
qian 	錢	c=4 d=0.848288 t=12432
qian chuang 	千窗	c=1 d=1 t=6961
qian ge 	千個	c=1 d=1 t=2623
qian mian 	前面	c=1 d=1 t=10337
qian ti 	前提	c=1 d=1 t=11295
qian ti shi 	前提是	c=1 d=1 t=5383
qian yuan 	千元	c=1 d=1 t=5707
qiang 	強	c=0 d=0.1 t=1259
qiang 	牆	c=1 d=1 t=3257
qiang bao 	強暴	c=1 d=1 t=5404
qiang da 	強大	c=1 d=1 t=1265
qiang diao 	強調	c=1 d=1 t=8164
qiang jian 	強姦	c=36 d=8.82645 t=12375
qiang le 	牆了	c=1 d=1 t=5349
qiang wai 	牆外	c=1 d=1 t=6654
qiang xing 	強行	c=2 d=1.96561 t=10582
qiang zhi 	強制	c=3 d=2.22266 t=4253
qiao 	橋	c=1 d=1 t=7991
qie huan 	切換	c=2 d=1.62814 t=4795
qin 	親	c=1 d=1 t=11342
qin quan 	侵權	c=1 d=1 t=5329
qin ren 	親人	c=3 d=2.91683 t=8514
qing 	情	c=1 d=1 t=8360
qing 	清	c=1 d=1 t=3090
qing 	請	c=8 d=1.58987 t=11335
qing bu yao 	請不要	c=1 d=1 t=11493
qing chao 	清朝	c=1 d=1 t=10508
qing chu 	清楚	c=1 d=1 t=12206
qing gan 	情感	c=5 d=0.235746 t=12432
qing gan de 	情感的	c=1 d=0.349938 t=12432
qing hua wu 	氰化物	c=2 d=1 t=10446
qing jie 	清潔	c=3 d=1 t=6507
qing kuang 	情況	c=2 d=1.01592 t=11510
qing liao 	輕聊	c=1 d=1 t=10958
qing ren jie 	情人節	c=1 d=1 t=9308
qing shang 	情商	c=1 d=1.09512 t=7440
qing shao nian 	青少年	c=1 d=0.20089 t=12432
qing wu 	請勿	c=1 d=1 t=7419
qing xing 	清醒	c=1 d=1 t=1863
qing xu 	情緒	c=6 d=0.203926 t=12432
qiu 	求	c=1 d=0.0197421 t=12432
qiu 	球	c=1 d=1 t=7501
qiu 	秋	c=2 d=1.99005 t=9393
qu 	去	c=22 d=0.511784 t=12432
qu 	取	c=1 d=1 t=8148
qu 	屈	c=1 d=1 t=10001
qu bie 	區別	c=1 d=1 t=12128
qu da ye 	去大爺	c=1 d=0.187308 t=12432
qu le 	去了	c=2 d=0.113222 t=6199
qu ni 	去你	c=1 d=0.199888 t=12432
qu si ba 	去死吧	c=1 d=1 t=11711
qu zuo 	去做	c=1 d=1 t=9897
quan 	全	c=2 d=1.00025 t=5121
quan 	圈	c=2 d=1.91393 t=6070
quan 	權	c=2 d=1.92312 t=12338
quan ban 	全班	c=1 d=1 t=6177
quan bu 	全部	c=3 d=1 t=12228
quan bu ren 	全部人	c=1 d=1 t=6820
quan cai 	全綵	c=4 d=2.58122 t=9662
quan de 	圈的	c=1 d=1 t=4465
quan lei 	醛類	c=1 d=1 t=3467
quan li 	權利	c=2 d=1 t=4691
quan pin 	全品	c=1 d=0.486752 t=12432
quan qian 	圈錢	c=1 d=1 t=10321
quan shi 	全是	c=2 d=1 t=6755
quan wei 	權威	c=1 d=1 t=11675
quan wu 	全無	c=1 d=0.650509 t=12432
quan xian 	權限	c=2 d=1.00012 t=6043
quan xin 	全新	c=1 d=1 t=3359
quan yi 	權益	c=1 d=1 t=5367
quan zuo 	全做	c=2 d=0.0862936 t=12432
que 	卻	c=9 d=2.38982 t=9885
que bi 	卻比	c=1 d=1 t=7279
que dian 	缺點	c=2 d=0.647265 t=12432
que ding 	確定	c=1 d=1 t=6674
que le 	缺了	c=1 d=0.0515605 t=12432
que qie 	確切	c=1 d=1 t=2602
que ren 	確認	c=1 d=1 t=6424
que shi 	確實	c=14 d=1.96569 t=12396
que xin 	確信	c=2 d=1.00001 t=11772
qun 	羣	c=9 d=1.00021 t=10786
qun li 	羣裏	c=1 d=1 t=4456
qun ti 	羣體	c=4 d=1.00115 t=10182
ran 	染	c=1 d=1 t=3902
ran er 	然而	c=3 d=1.00033 t=11594
ran hou 	然後	c=51 d=1.3744 t=12432
rang 	讓	c=12 d=0.264477 t=12432
rang ni 	讓你	c=1 d=1 t=12012
rang ren 	讓人	c=8 d=3.39642 t=7254
rang ta 	讓她	c=1 d=1 t=9743
rang wan jia 	讓玩家	c=1 d=0.404542 t=12432
rang wo 	讓我	c=7 d=1 t=7283
re 	熱	c=1 d=1 t=1909
ren 	人	c=43 d=0.717566 t=12432
ren a 	人啊	c=1 d=0.780451 t=2333
ren ba 	人吧	c=1 d=1 t=5283
ren ci 	仁慈	c=1 d=1 t=9026
ren de 	人的	c=3 d=0.23457 t=12432
ren dou 	人都	c=1 d=1 t=7487
ren dui 	人對	c=1 d=1 t=9598
ren he 	任何	c=9 d=0.88586 t=12432
ren he ren 	任何人	c=2 d=0.149569 t=12432
ren jia 	人家	c=4 d=2.00028 t=5395
ren jun 	人均	c=1 d=1 t=4709
ren kan 	人看	c=1 d=1 t=11294
ren le 	人了	c=1 d=1 t=8012
ren lei 	人類	c=6 d=2.91982 t=8493
ren me 	人麼	c=2 d=0.865022 t=12432
ren mei tian 	人每天	c=1 d=1 t=6364
ren min 	人民	c=2 d=1.03112 t=10466
ren ren 	人人	c=2 d=1.9802 t=4449
ren shen 	人身	c=1 d=1 t=10113
ren sheng 	人生	c=1 d=1 t=5808
ren shi 	認識	c=3 d=1.00177 t=11290
ren shou 	忍受	c=2 d=1.21003 t=12432
ren ti 	人體	c=1 d=1 t=5062
ren tong 	認同	c=1 d=0.1 t=9316
ren wei 	認爲	c=3 d=1.00002 t=10900
ren xing 	人性	c=1 d=1 t=10638
ren zhen 	認真	c=1 d=0.0574037 t=12432
ren zhen de 	認真的	c=1 d=1 t=3454
ren zhen de ma 	認真的嗎	c=1 d=0.12307 t=12432
ren zhen de me 	認真的麼	c=2 d=0.453845 t=12432
ri 	日	c=3 d=0.16696 t=12432
ri ben 	日本	c=4 d=1.00103 t=10697
ri ji 	日籍	c=1 d=1 t=8538
ri ji 	日記	c=1 d=1 t=8539
ri yu 	日語	c=1 d=1 t=9318
ri zhi 	日誌	c=5 d=1.2207 t=10074
rong 	榮	c=1 d=1 t=3162
rong liang 	容量	c=0 d=0.1 t=7241
rong ren 	容忍	c=1 d=1 t=9811
rong yao 	榮耀	c=1 d=1 t=8685
rou 	肉	c=2 d=1.0004 t=10307
ru 	入	c=1 d=1 t=8085
ru 	如	c=1 d=1 t=10332
ru ci 	如此	c=4 d=1 t=11601
ru de 	入的	c=1 d=1 t=8093
ru fang 	乳房	c=0 d=0.026982 t=12432
ru fang feng fu fang fu 	乳房豐富彷彿	c=1 d=0.271173 t=12432
ru guo 	如果	c=16 d=0.847894 t=12432
ru he 	如何	c=10 d=4.61048 t=11697
ru huo 	入夥	c=1 d=1 t=5698
ru men 	入門	c=1 d=1 t=9331
ru ni 	如你	c=1 d=1 t=11712
ru qin 	入侵	c=2 d=1.37344 t=3083
ruan jian 	軟件	c=22 d=0.955997 t=12432
ruan ti 	軟體	c=1 d=1 t=6682
rui ke 	瑞克	c=1 d=1 t=11987
sai 	賽	c=1 d=1 t=3323
sai sai 	賽賽	c=2 d=1.00004 t=10063
san 	三	c=3 d=1.00139 t=11118
san bu 	三部	c=1 d=1 t=4595
san ci 	三次	c=1 d=1 t=1879
san dai 	三代	c=1 d=1 t=7939
san duan 	三段	c=0 d=0.00156858 t=12432
san ge 	三哥	c=2 d=1.77492 t=9852
san le 	散了	c=1 d=0.615697 t=12432
san nian 	三年	c=3 d=2.7235 t=5292
san re 	散熱	c=1 d=1 t=3240
san re qi 	散熱器	c=3 d=2.36256 t=3247
san tian 	三天	c=1 d=1 t=1714
